state.name,state.abb,Family.size.2,Family.size.3,Family.size.4,Family.size.5,Family.size.6,GEOID,totalpop,white.count,black.count,asian.count,latinx.count,poverty.count,medincome,poverty,white,latinx,black,asian
Alabama,AL,190,215,245,275,305,01,4876250,3194929,1291524,65410,208626,795989,50536,16.323793899000258,65.52020507562163,4.278410663932325,26.48600871571392,1.341399641117662
Alaska,AK,821,923,1025,1127,1229,02,737068,446897,22857,44917,51870,76933,77640,10.437707240037554,60.6317191900883,7.037342551840536,3.101070728887972,6.094010321978433
Arizona,AZ,220,278,335,392,449,04,7050299,3857007,297107,226597,2208663,1043764,58945,14.804535240278462,54.70699895139199,31.32722456168171,4.21410496207324,3.214005533666019
Arkansas,AR,162,204,247,286,331,05,2999370,2172453,456899,44927,224130,496260,47597,16.545474549655427,72.43031036517668,7.472569239540303,15.233165631449271,1.4978812217232285
California,CA,NA,NA,NA,NA,NA,06,39283497,14605312,2169155,5610931,15327688,5149742,75235,13.109174063602332,37.17925621540262,39.01813527446398,5.521797104774048,14.283175960633036
Colorado,CO,400,508,617,732,844,08,5610349,3818321,221526,174660,1208172,565873,72331,10.086235276985443,68.05852897921324,21.534703099575445,3.9485244144348237,3.11317531226667
Connecticut,CT,495,606,712,815,922,09,3575074,2392013,354120,159989,574240,344146,78444,9.626262281563962,66.90806959520279,16.062324863765056,9.90524951371636,4.475124151276309
Delaware,DE,270,338,407,475,544,10,957248,596497,207402,36656,88364,109400,68287,11.42859530654543,62.31373687905329,9.231045664237481,21.666485592030487,3.82931069064652
Florida,FL,241,303,364,426,487,12,20901636,11266347,3202687,559988,5346684,2870487,55660,13.733312550271185,53.90174721251485,25.580217739893662,15.322661824174912,2.6791587031751964
Georgia,GA,235,280,330,378,410,13,10403847,5485855,3244348,410705,992394,1528558,58700,14.69223836144457,52.72910107194002,9.538721590196396,31.18411872070014,3.9476262963113546
Hawaii,HI,485,610,735,860,986,15,1422094,312722,24377,524609,149118,130649,81275,9.187086085729916,21.990248183312776,10.485804735833215,1.7141623549498135,36.88989616720132
Idaho,ID,309,309,309,309,309,16,1717750,1407883,11316,23061,215476,221256,55785,12.880570513753456,81.96087905690584,12.544083830592344,0.6587687381749382,1.3425120069858827
Illinois,IL,431,543,655,767,879,17,12770631,7829850,1783708,692370,2186387,1557873,65886,12.198872553752434,61.311379210627884,17.120430462676435,13.967265987091789,5.421580186601586
Indiana,IN,229,288,346,405,463,18,6665703,5271071,616545,150840,461850,867996,56303,13.021822304414103,79.0774956519965,6.928751551036703,9.249512016962052,2.262927106113189
Iowa,IA,361,426,495,548,610,19,3139508,2690052,113560,75326,188311,348122,60523,11.088425320145705,85.68387148559583,5.9981054356287675,3.6171272696231385,2.3992931376508677
Kansas,KS,352,429,497,558,619,20,2910652,2208576,164509,84850,345680,337739,59597,11.603551369246478,75.8790813879502,11.876376839278622,5.651963889877594,2.9151544052672733
Kentucky,KY,225,262,328,383,432,21,4449052,3761855,353997,64764,162994,747010,50589,16.790318476835065,84.55408028496858,3.6635669801117183,7.956683805898425,1.4556808956155154
Louisiana,LA,188,240,284,327,366,22,4664362,2735887,1492386,80014,239164,871467,49469,18.683519846872947,58.65511724861835,5.127475097344503,31.995501206810278,1.7154328930730505
Maine,ME,463,620,781,936,1094,23,1335492,1244531,17368,14946,22100,153131,57918,11.466261123241472,93.18895208657185,1.6548208450518611,1.3004944994054626,1.1191381153911817
Maryland,MD,575,727,870,1010,1110,24,6018848,3062363,1768596,375951,606482,539991,84805,8.971667003386695,50.879553695325086,10.076380064756577,29.384294137349872,6.246228514160849
Massachusetts,MA,629,752,869,990,1115,25,6850553,4903539,473181,449793,809179,680962,81215,9.940248619345036,71.57873240306293,11.811878544695588,6.907194207533319,6.565791112045991
Michigan,MI,403,492,597,694,828,26,9965265,7477400,1358034,310420,507353,1398527,57144,14.034017158600399,75.03463279702045,5.091214332985626,13.6276757316539,3.1150200220465787
Minnesota,MN,537,632,721,797,873,27,5563378,4442126,349808,266436,299556,526065,71306,9.455855776831989,79.84584186082628,5.384426512093912,6.2876906800149115,4.789104748949289
Mississippi,MS,236,260,284,308,332,28,2984418,1689927,1121516,29466,91202,585786,45081,19.628148603848388,56.62501030351646,3.0559392149491122,37.57905226412654,0.9873281825803222
Missouri,MO,234,292,342,388,431,29,6104910,4849901,696379,119481,254791,810045,55461,13.268745976599163,79.44262896586518,4.17354227990257,11.406867586909554,1.9571295891339922
Montana,MT,467,588,709,830,950,30,1050649,904550,4666,8098,40314,134605,54970,12.811605017470153,86.09440450616714,3.837056904827397,0.4441064522975799,0.7707616911071157
Nebraska,NE,408,485,562,639,716,31,1914571,1512111,89872,45303,208271,206579,61439,10.789832291411496,78.97910289041252,10.87820718061644,4.694106408171857,2.3662219891557954
Nevada,NV,320,386,452,518,584,32,2972382,1463237,259802,237588,853041,384690,60365,12.942145390464617,49.227757401303066,28.698902092665076,8.740532004298236,7.993185263536113
New Hampshire,NH,871,1098,1325,1552,1779,33,1348124,1214927,18335,35971,50493,98682,76768,7.319949796902955,90.11982577270341,3.7454269785271976,1.3600380973857005,2.6682263649337896
New Jersey,NJ,425,559,644,728,814,34,8878503,4916380,1125541,834073,1794736,869081,82545,9.788598370693798,55.37397464414891,20.214398756186714,12.677148388641644,9.394297664820296
New Mexico,NM,357,447,539,630,721,35,2092454,782269,37911,30341,1020817,392065,49754,18.737090516685193,37.38524239959397,48.78563638674972,1.811796101610836,1.4500199287535114
New York,NY,574,789,951,1119,1238,36,19572319,10883812,2790504,1633539,3720983,2681277,68486,13.699332204834798,55.6081882785581,19.011456945904058,14.25740097532643,8.346169914765849
North Carolina,NC,236,272,297,324,349,37,10264876,6474688,2165301,290525,962665,1467591,54602,14.29721118891256,63.07614431971706,9.378242854565412,21.094273325854108,2.8302826064338236
North Dakota,ND,385,486,583,682,781,38,756717,638985,21577,10876,28317,78198,64894,10.333850039050265,84.441739778543365,3.7420858788688505,2.8513962287090155,1.4372612218306182
Ohio,OH,417,512,631,738,822,39,11655397,9197115,1425887,256584,443415,1588343,56602,13.627532378347988,78.9086377752727,3.8043749174738535,12.233705981872603,2.2014179353993693
Oklahoma,OK,225,292,361,422,483,40,3932870,2581231,280944,84020,417906,598373,52919,15.214665117331618,65.63224820550896,10.625980518044075,7.143485546178745,2.13635335009802
Oregon,OR,432,506,621,721,833,41,4129803,3125842,75232,178412,537217,533527,62818,12.918945528394454,75.6898573612349,13.008296037365463,1.8216849568853526,4.320109215863323
Pennsylvania,PA,316,403,497,589,670,42,12791530,9777163,1363043,433115,935216,1539183,61744,12.032829536419802,76.43466418794311,7.311212966705312,10.65582459643217,3.3859514850842705
Rhode Island,RI,584,721,825,929,1033,44,1057231,761432,60415,35401,163226,125826,67167,11.901467134429467,72.02134632828587,15.439010017678255,5.7144559703603095,3.348464053740384
South Carolina,SC,242,305,367,430,493,45,5020806,3196421,1333876,78102,285458,741650,53199,14.771532698136514,63.663503429529044,5.68550149119484,26.566969526406716,1.5555669747048582
South Dakota,SD,563,630,696,762,828,46,870638,713546,17191,12511,33024,110553,58275,12.697929564296528,81.95668004382993,3.793080476615999,1.9745290235436541,1.4369921827441485
Tennessee,TN,343,387,438,471,502,47,6709356,4951558,1114068,116563,364174,996930,53320,14.858803139973494,73.80079399572776,5.427853284279445,16.6046935056062,1.7373202435524364
Texas,TX,267,308,370,411,473,48,28260856,11856336,3328707,1340554,11116881,4072194,61874,14.409308762622052,41.95320906061727,39.33667472775772,11.778507345991219,4.743501046111271
Utah,UT,399,498,583,663,731,49,3096848,2425647,34571,71000,434832,298537,71621,9.64002753767702,78.32631759776392,14.04111535341741,1.1163286025016403,2.2926536917536797
Vermont,VT,580,699,798,901,972,50,624313,579340,7901,10393,12038,65652,61973,10.51587905425644,92.7964018048639,1.92819947686497,1.2655510937622634,1.6647098490660934
Virginia,VA,465,559,648,772,844,51,8454463,5227569,1588726,536076,792001,865691,74222,10.239455776197731,61.83206431916492,9.36784512511321,18.791566063983012,6.340745710283432
Washington,WA,528,654,771,888,1009,53,7404107,5073945,270704,625682,937579,785244,73775,10.605519342170501,68.52879084540513,12.662958544494293,3.656133008342532,8.450472150118847
West Virginia,WV,480,542,612,670,734,54,1817305,1671546,65848,14319,28368,310044,46711,17.06064749725555,91.9793870594094,1.5609927887723856,3.623387378563312,0.7879249768200715
Wisconsin,WI,NA,NA,NA,NA,NA,55,5790716,4705599,364060,160706,394392,639160,61747,11.037667880794016,81.26109102915771,6.810763988425611,6.286960023596391,2.7752353940341745
Wyoming,WY,682,726,726,771,771,56,581024,488437,5193,4907,57341,62257,64049,10.715047915404528,84.06485790604175,9.868955499256485,0.8937668667731453,0.8445434267775513
District of Columbia,DC,NA,NA,NA,NA,NA,11,692683,253373,314774,27188,76191,107140,86420,15.46739273231767,36.57849261494796,10.999403767668616,45.442720551825296,3.9250277543984766
