GEOID,NAME,totalpop,white.count,black.count,asian.count,latinx.count,poverty.count,medincome,stabb
34001,"Atlantic County, New Jersey",273865,151996,36194,21298,53118,37537,66473,nj
34003,"Bergen County, New Jersey",952979,519148,50546,157364,199671,62027,109497,nj
34005,"Burlington County, New Jersey",460102,302063,73670,23821,39725,27947,95935,nj
34007,"Camden County, New Jersey",521194,287837,93521,30305,92034,63013,75485,nj
34009,"Cape May County, New Jersey",95488,80898,3542,719,7833,8730,76237,nj
34011,"Cumberland County, New Jersey",154921,69266,28395,2225,49442,22393,58397,nj
34013,"Essex County, New Jersey",852720,247977,319030,46946,201744,126984,67826,nj
34015,"Gloucester County, New Jersey",300821,232358,29848,9575,20398,21274,93208,nj
34017,"Hudson County, New Jersey",713264,200842,74819,111780,303025,101255,79795,nj
34019,"Hunterdon County, New Jersey",128807,107832,3419,5588,9112,4648,123373,nj
34021,"Mercer County, New Jersey",384951,184711,74456,45257,71044,41942,85687,nj
34023,"Middlesex County, New Jersey",858770,351601,81090,210982,187049,69630,96883,nj
34025,"Monmouth County, New Jersey",642160,477359,40262,34546,70834,41588,110356,nj
34027,"Morris County, New Jersey",508347,354301,15496,53563,69893,25033,123727,nj
34029,"Ocean County, New Jersey",630057,528415,17657,12033,59562,65237,76644,nj
34031,"Passaic County, New Jersey",521067,209359,53442,27605,221356,74920,78386,nj
34033,"Salem County, New Jersey",64752,47173,8857,550,6389,8257,67898,nj
34035,"Somerset County, New Jersey",343950,185733,31979,63992,51778,17394,121695,nj
34037,"Sussex County, New Jersey",144492,121608,3078,2816,13268,7320,101645,nj
34039,"Union County, New Jersey",571963,219403,114589,30760,185980,48380,87369,nj
34041,"Warren County, New Jersey",109354,86962,4930,2921,11248,8387,85163,nj
42001,"Adams County, Pennsylvania",103782,91698,1419,783,7551,7731,72492,pa
42003,"Allegheny County, Pennsylvania",1246116,964740,156053,48818,28312,134916,66659,pa
42005,"Armstrong County, Pennsylvania",65967,63675,627,205,565,6819,56838,pa
42007,"Beaver County, Pennsylvania",168260,148795,10028,828,3048,17573,62152,pa
42009,"Bedford County, Pennsylvania",47729,45917,356,155,606,4965,54596,pa
42011,"Berks County, Pennsylvania",426967,297542,17352,5713,96549,48947,69272,pa
42013,"Blair County, Pennsylvania",123132,115562,1962,732,1617,16225,54368,pa
42015,"Bradford County, Pennsylvania",60233,57342,394,351,919,7687,54383,pa
42017,"Bucks County, Pennsylvania",643872,531124,24054,30648,37055,34966,99302,pa
42019,"Butler County, Pennsylvania",192561,180801,1831,2589,3199,14578,77065,pa
42021,"Cambria County, Pennsylvania",134048,123310,4617,608,2363,17760,51018,pa
42023,"Cameron County, Pennsylvania",4596,4316,4,5,61,733,43615,pa
42025,"Carbon County, Pennsylvania",64792,58458,1042,342,3617,7929,59289,pa
42027,"Centre County, Pennsylvania",158879,134537,5244,9888,4813,24109,64995,pa
42029,"Chester County, Pennsylvania",531704,414954,28267,32001,40280,31405,109969,pa
42031,"Clarion County, Pennsylvania",37571,35779,542,172,406,5542,53096,pa
42033,"Clearfield County, Pennsylvania",80667,74307,1954,423,2522,11031,52826,pa
42035,"Clinton County, Pennsylvania",37824,35772,443,280,645,5022,53792,pa
42037,"Columbia County, Pennsylvania",65013,60064,1025,672,2051,9068,55572,pa
42039,"Crawford County, Pennsylvania",84495,79585,1286,480,1215,10606,55042,pa
42041,"Cumberland County, Pennsylvania",257333,215968,10054,12194,11370,17865,77001,pa
42043,"Dauphin County, Pennsylvania",284199,181085,49677,14566,28739,33707,66480,pa
42045,"Delaware County, Pennsylvania",573883,373490,122917,34213,23944,53247,80398,pa
42047,"Elk County, Pennsylvania",31037,29873,198,114,265,2845,57551,pa
42049,"Erie County, Pennsylvania",271903,225960,18138,5081,12408,40599,55949,pa
42051,"Fayette County, Pennsylvania",129443,117573,5372,568,1724,20012,51321,pa
42053,"Forest County, Pennsylvania",7121,5125,1263,120,380,718,43958,pa
42055,"Franklin County, Pennsylvania",155592,134679,5305,1186,9760,14203,66329,pa
42057,"Fulton County, Pennsylvania",14529,13802,184,53,191,1631,58343,pa
42059,"Greene County, Pennsylvania",36248,33418,1075,132,575,4130,57497,pa
42061,"Huntingdon County, Pennsylvania",44458,39925,2229,168,919,4516,57055,pa
42063,"Indiana County, Pennsylvania",83620,77683,1790,825,1177,10534,52546,pa
42065,"Jefferson County, Pennsylvania",44491,42931,190,118,439,6368,52815,pa
42067,"Juniata County, Pennsylvania",23607,22036,273,119,951,2230,56382,pa
42069,"Lackawanna County, Pennsylvania",215529,179075,5607,6206,18441,28085,58366,pa
42071,"Lancaster County, Pennsylvania",550480,444487,18244,12846,60859,46315,73688,pa
42073,"Lawrence County, Pennsylvania",86311,78411,3083,210,1419,10493,53106,pa
42075,"Lebanon County, Pennsylvania",142486,114672,2728,2078,20064,15052,66164,pa
42077,"Lehigh County, Pennsylvania",372492,230550,21484,12295,98142,43982,69440,pa
42079,"Luzerne County, Pennsylvania",324825,255706,12703,3683,45399,44368,56534,pa
42081,"Lycoming County, Pennsylvania",114274,101919,5468,935,2485,13259,58177,pa
42083,"McKean County, Pennsylvania",40652,37664,914,156,935,5595,52350,pa
42085,"Mercer County, Pennsylvania",111216,99261,6513,640,1768,14169,52810,pa
42087,"Mifflin County, Pennsylvania",46156,43926,306,178,784,6937,54738,pa
42089,"Monroe County, Pennsylvania",168128,106704,21969,4124,28997,17523,72679,pa
42091,"Montgomery County, Pennsylvania",850890,631238,76527,65630,47038,49229,99361,pa
42093,"Montour County, Pennsylvania",18198,16476,364,643,500,1504,64858,pa
42095,"Northampton County, Pennsylvania",311359,232581,16596,8856,44530,26868,77103,pa
42097,"Northumberland County, Pennsylvania",91853,83812,2123,302,3680,10893,51005,pa
42099,"Perry County, Pennsylvania",45879,43260,409,167,1039,3969,72922,pa
42101,"Philadelphia County, Pennsylvania",1596865,539182,633122,117537,245968,354643,52649,pa
42103,"Pike County, Pennsylvania",58345,45893,3112,851,6783,5446,71360,pa
42105,"Potter County, Pennsylvania",16478,15784,72,72,246,2167,50944,pa
42107,"Schuylkill County, Pennsylvania",143308,128398,3868,614,7759,17231,57785,pa
42109,"Snyder County, Pennsylvania",39877,37777,344,222,906,3384,62951,pa
42111,"Somerset County, Pennsylvania",74331,69572,1724,291,1182,7364,54332,pa
42113,"Sullivan County, Pennsylvania",5935,5505,202,8,123,695,54074,pa
42115,"Susquehanna County, Pennsylvania",38892,37221,229,154,712,4468,59391,pa
42117,"Tioga County, Pennsylvania",41089,39410,330,204,546,5066,54671,pa
42119,"Union County, Pennsylvania",43094,36287,2846,735,2613,4296,61807,pa
42121,"Venango County, Pennsylvania",50810,48192,555,216,563,6386,55899,pa
42123,"Warren County, Pennsylvania",38791,36966,239,147,454,4373,55796,pa
42125,"Washington County, Pennsylvania",209090,190470,6911,2126,3805,17864,68787,pa
42127,"Wayne County, Pennsylvania",51244,45713,1557,317,2482,5118,56744,pa
42129,"Westmoreland County, Pennsylvania",355107,330055,8004,3561,4640,34413,64708,pa
42131,"Wyoming County, Pennsylvania",26389,24956,238,102,546,2766,62795,pa
42133,"York County, Pennsylvania",454605,371354,24469,6456,37411,38673,72543,pa
36001,"Albany County, New York",314679,223428,35853,21738,19819,34996,73810,ny
36003,"Allegany County, New York",46654,43895,834,269,807,6768,54375,ny
36005,"Bronx County, New York",1468262,131851,418083,54055,824402,379954,43726,ny
36007,"Broome County, New York",198591,163570,9882,9126,8990,35372,53982,ny
36009,"Cattaraugus County, New York",77211,69253,991,561,1723,12916,53537,ny
36011,"Cayuga County, New York",76644,68059,2961,565,2370,9705,59602,ny
36013,"Chautauqua County, New York",128042,110708,2904,831,10007,21254,50408,ny
36015,"Chemung County, New York",84456,72030,4887,1240,2831,11574,58175,ny
36017,"Chenango County, New York",47407,44626,283,255,1090,5674,55690,ny
36019,"Clinton County, New York",80095,71869,3108,1084,2375,9217,62470,ny
36021,"Columbia County, New York",61587,52242,2398,1191,3144,5791,73065,ny
36023,"Cortland County, New York",46984,42924,901,502,1349,5518,62163,ny
36025,"Delaware County, New York",44644,40722,719,386,1832,6549,52757,ny
36027,"Dutchess County, New York",296012,207056,29275,10204,38255,24677,87112,ny
36029,"Erie County, New York",949715,708186,117946,37131,54971,127528,62578,ny
36031,"Essex County, New York",37501,34210,1081,82,1182,3321,61563,ny
36033,"Franklin County, New York",47996,38922,2433,293,1712,7886,55279,ny
36035,"Fulton County, New York",53588,48536,754,390,1897,7730,55240,ny
36037,"Genesee County, New York",58387,52561,1190,425,2043,5977,63734,ny
36039,"Greene County, New York",48026,40254,2531,470,3061,4580,62810,ny
36041,"Hamilton County, New York",5068,4670,50,22,94,487,62841,ny
36043,"Herkimer County, New York",60596,56473,704,324,1435,7754,60561,ny
36045,"Jefferson County, New York",117634,95142,6486,1817,9094,14531,58271,ny
36047,"Kings County, New York",2712360,996334,776581,318686,509527,504813,67753,ny
36049,"Lewis County, New York",26681,25250,248,100,465,3147,60049,ny
36051,"Livingston County, New York",62253,55702,1615,669,2412,6504,64467,ny
36053,"Madison County, New York",68466,62817,1011,721,1613,5665,63312,ny
36055,"Monroe County, New York",757332,528359,105870,27566,69931,99940,66317,ny
36057,"Montgomery County, New York",49539,39342,1278,383,7383,8153,53533,ny
36059,"Nassau County, New York",1391678,811345,152775,145531,239038,74930,126576,ny
36061,"New York County, New York",1669127,779876,202584,197599,428057,252233,93956,ny
36063,"Niagara County, New York",212808,179857,14051,2203,7134,25990,60834,ny
36065,"Oneida County, New York",232034,188265,13252,9372,14438,31972,61733,ny
36067,"Onondaga County, New York",474621,360822,49061,18387,24689,62845,66012,ny
36069,"Ontario County, New York",112060,99839,2258,1600,5610,9284,70694,ny
36071,"Orange County, New York",398277,247892,39728,10812,85344,45401,85640,ny
36073,"Orleans County, New York",40588,34785,2275,281,2080,5298,54882,ny
36075,"Oswego County, New York",118019,109526,1175,787,3199,18466,61983,ny
36077,"Otsego County, New York",58952,53292,1036,787,2274,6650,60523,ny
36079,"Putnam County, New York",97960,74813,2884,2049,15866,5842,111617,ny
36081,"Queens County, New York",2393104,588147,402236,612411,668079,270107,75886,ny
36083,"Rensselaer County, New York",161125,132118,9804,4689,8431,17392,76731,ny
36085,"Richmond County, New York",493194,294138,44849,51101,90957,50282,89427,ny
36087,"Rockland County, New York",336485,211509,36405,19741,60782,49451,99707,ny
36089,"St. Lawrence County, New York",108836,99789,2774,1100,2558,16570,54351,ny
36091,"Saratoga County, New York",235010,210160,3613,6633,7898,14763,90800,ny
36093,"Schenectady County, New York",157515,112740,14734,7308,11732,18349,69891,ny
36095,"Schoharie County, New York",29936,27251,404,286,1047,3448,64220,ny
36097,"Schuyler County, New York",17920,16911,154,117,326,2794,56437,ny
36099,"Seneca County, New York",33900,29792,1708,207,1262,3688,59086,ny
36101,"Steuben County, New York",94153,87493,1466,1415,1598,11812,58652,ny
36103,"Suffolk County, New York",1522998,1011903,105818,61164,302968,99121,111660,ny
36105,"Sullivan County, New York",78230,54952,6227,1402,13007,10423,63393,ny
36107,"Tioga County, New York",48567,45816,426,447,1017,4454,64987,ny
36109,"Tompkins County, New York",105638,81263,3645,9859,5597,15445,64260,ny
36111,"Ulster County, New York",181862,138276,10120,3128,19433,22934,71040,ny
36113,"Warren County, New York",65692,61104,772,494,1807,5151,68765,ny
36115,"Washington County, New York",61504,56005,1640,399,1783,6893,63869,ny
36117,"Wayne County, New York",91332,81149,1932,771,4210,10079,64152,ny
36119,"Westchester County, New York",999723,523741,132724,59480,251810,80169,105387,ny
36121,"Wyoming County, New York",40679,36109,1635,265,1363,3495,60013,ny
36123,"Yates County, New York",24808,23507,203,199,545,3111,57635,ny
